"year","volume","issue","doi","journal","title","abstract"
2015,1,1,"10.1177/2394964315569643","Journal of Creating Value","What Value Does the Pharmaceutical Industry Bring to Health Care?","It is very rare indeed for an industry to successfully push back against the tide and resist a changing business environment, and rarer still for it to continue to be profitable through those turbulent times. In many ways the pharmaceutical industry is unique. It has indeed managed to maintain, even grow its profitability during a period of unprecedented change and uncertainty. The forces at play are significant and varied and apply across all of health care yet the notion of ‘value’ stands out as a key-driving concept. Pharma has typically relied on ‘science’ and ‘product innovation around the pill' as the focus for the value they deliver but this is fast becoming not enough.With health care as a whole struggling to adapt to this new, changing environment how will big pharma respond. Change does not come easily to this powerful behemoth and with so much money at risk the pharma industry will no doubt seek to focus on maintaining the status quo."
2015,1,1,"10.1177/2394964315569649","Journal of Creating Value","Interview with Dr Jagdish Sheth: Author of Several Books and Papers, and the Recent Book, The Accidental Scholar",
2015,1,1,"10.1177/2394964315569658","Journal of Creating Value","Interview with an SME Company on Innovation and Value Creation: Zane Cycles",
2015,1,1,"10.1177/2394964315569660","Journal of Creating Value","Six of the Best Books on Customer Value Creation",
2015,1,1,"10.1177/2394964315570178","Journal of Creating Value","Boundary Risk and What It Means for Value Creation","This article focuses on strategic risks that companies absorb when they are unprepared—or unable—to develop new ways to create customer value. Using real-world examples, the article describes what happens when senior executives are lulled into complacency, causing them to turn a blind eye to emerging opportunities to drive sustainable revenue. In particular, the article profiles how other companies have successfully adapted. What constitutes value for customers is ephemeral, adding risk to corporate strategies. Yesterday's cash cow can become today's obsolete product. Leaders must continually define what ‘prospective customer’ means in the context of their industry. They must figure out which products to develop and sell. They must learn how customers intend to buy what they and their competitors, produce. But not every executive fully understands the grave importance for solving these problems. In just five years, revenue sources for most companies will be quite different from the ones they depend on today, and some will not make the transition. There are no ordained roadmaps for addressing boundary risk, but cited in the article are tactics common to the successful companies: acknowledging the risks, having adequate financial capacity to absorb failure and fostering a culture that accepts those outcomes, along with successes."
2015,1,1,"10.1177/2394964315579976","Journal of Creating Value","Customer Value Creation International",
2015,1,1,"10.1177/2394964315580497","Journal of Creating Value","Editorial",
2015,1,2,"10.1177/2394964315569629","Journal of Creating Value","Human Connection: Uncharted Territory for Value Creation","Abstract This article introduces an area of value creation seldom considered in the strategic sense in business: value creation from human connections. And given the number one reason for customers leaving a business is a feeling of indifference from a company representative, this is an area that holds a great opportunity for companies to really stand out from their competition. This article examines where business has come from, where we are now and why the critical need to revamp our way of thinking. When a company transforms into a customer-centric organization, a collective mindset to design for the desired outcome of customer emotion emerges. The context for thought is creating value for the customer and is expressed in changes to processes, products/services and people. When an employee transforms into being customer focused, the individual mindset of paying attention to how he leaves a person feeling begins to develop. This shift from task to the customer lays the foundation for developing human connection skills. Customer value creation becomes a common language of understanding with different expressions of it for company and individuals. The reader will discover why traditional soft skills training has failed to bring about lasting behaviour changes and offers an alternative, based on the insights provided in recent years from neuroscience."
2015,1,2,"10.1177/2394964315569631","Journal of Creating Value","Creating Customer Value in a Digitally Transformed Future","Abstract Today’s market is being driven by continually accelerating innovation. Much of that innovation is being driven by the Internet, which has become a global platform for innovation and engagement. Through it we can connect people, processes, data, systems and devices faster, more effectively and more powerfully and innovate faster because of it than at any time in history. That capability and the innovation it enables are rapidly changing what customers value and are blurring the boundaries between how we create products and services as well as companies, and how we engage customers. Those changes are leading us into a market composed of digital ecosystems and intelligent products that anticipate and facilitate high-value customer/user outcomes based on the users context. To compete in the digitally transformed future will require not just understanding the technology, but also being immersed in the cultures creating it, and working collaboratively with customers and other participants in the digital ecosystems to identify and create new breakthrough value. For products and services to be competitive they must be highly personalized for users and contextualized based on their location and needs at the moment. Transforming your company into an organization that can compete and lead in that future is critical to your success. It requires a top-down commitment from your most senior executives. And it requires working collaboratively with your most visionary customers and partners to create a digital vision and a continually adaptive strategy and transformation plan. This article provides a series of questions and recommended action items to help you develop that vision and strategy and to help you become a vibrant part of that digital future."
2015,1,2,"10.1177/2394964315569633","Journal of Creating Value","Engineering Value into Products and Services","Abstract A component of increasing value to customers is the interactions that a customer has with the seller both before and after sales transactions. However, many products do not include features within the design of the product that enable a continuing stream of interactions. This is not due to inferior work by design engineers. Rather, most requirements provided to development teams are product-centric and do not address the relationship interactions that occur between the seller and customer. There are no requirements for creating or enabling a steady stream of customer interactions. Development teams create designs based upon the requirements they are given. Product-development methodologies restrict the development teams so that the designs they create do not include features that are not found in the design requirements. Transforming design requirements to include these features will lead to a dimension of customer value creation that can be operationally managed for competitive advantage."
2015,1,2,"10.1177/2394964315569641","Journal of Creating Value","What Every CEO Needs to Know about Digital Marketing","Abstract During the last five years marketing underwent a sea change. It adopted more tools, applications and data than ever before. It is not unusual to see marketing teams use 70 software applications and publish hundreds of messages daily. By their nature, digital marketers interact with millions of customers and prospects daily. Their work shapes customers’ and prospects’ perceptions of your products and services. In the Internet era, they are your frontline employees. But recent studies point to a troubling gap: digital marketers believe their companies are only 34 per cent proficient (effective) at digital marketing. Which chief executive officer (CEO) would want efficiency if that creates a frontline function that, by its own account, is effective less than 50 per cent of the time? Just like a CEO would work with their service, sales or manufacturing functions to improve effectiveness, they must also work with their chief marketing officer (CMO’s) to improve digital marketing’s effectiveness. To do this, a CEO must understand digital marketing’s levers, what does a best-in-class organization do and the steps their organization can take to become more effective."
2015,1,2,"10.1177/2394964315569648","Journal of Creating Value","On ‘Value’ and ‘Performance’","Abstract This article reminds readers that the terms ‘value’ and ‘performance’ are used so routinely that we risk losing sight of their meanings, which results in a risk that Value Measurement and Performance Management become confused. A basic definition of value is provided—benefits minus costs—and discussed, making the point that tangible (rational) and intangible (emotional and social) issues must be taken into account. The work of Jean Baudrillard is referenced to help explain some of the complexity around buying value perceptions and decisions. A four-step process is outlined to help readers develop value assessments in a business context: (a) Value Hypotheses; (b) Sources of Value Flowcharts; (c) Value Word Equations; and (d) Value Models. An established means used by medics to evaluate pain is referenced to demonstrate the measurement of intangible factors. The information is then put into context with performance: What is Performance Management? And what does it mean for the multiple trade-offs that every business has to make every day? The article concludes with a summary and suggested action steps."
2015,1,2,"10.1177/2394964315569650","Journal of Creating Value","Interview with Professor Luiz Moutinho",
2015,1,2,"10.1177/2394964315600843","Journal of Creating Value","Dealing with the ‘Alignment Problem’","Abstract When companies try to become more customer-centric, one of the biggest problems has to do with aligning their internal systems, accountabilities and responsibilities with the needs and interests of individual customers. This ‘alignment problem’ comes in three different forms. ‘Alignment 1.0’ involves coordinating individual business units and divisions to ensure an enterprise-wide view of individual customers. ‘Alignment 2.0’ requires integrating the performance metrics at individual business units with customer-specific tactical goals. And ‘Alignment 3.0’, the most difficult issue, requires a company to reconcile customer-centric metrics, such as satisfaction scores, or the financial asset value of customers, to more traditional financial metrics of success, such as quarterly sales and profits, and shareholder value."
2015,1,2,"10.1177/2394964315601527","Journal of Creating Value","Best Buy and Showrooming: A Critical Thinking Case Exercise Based upon Service Dominant Logic and Value Co-creation","Abstract This article shows how a critical thinking perspective in teaching business cases can create value for students and educators. We introduce a free, online case emphasizing value co-creation in a consumer retail setting that was co-developed by marketing faculty at Illinois State University, Best Buy and IBM. The case focuses on the problems of showrooming (i.e., evaluating products in a physical store, but purchasing products via another channel such as online) and webrooming (i.e., researching products online, but purchasing the products in physical stores) that currently challenge many traditional retailers. The extent of the information created through the case videos of involved managers and other means encourage critical thinking which supports the achievement of higher order thinking skills in students’ business decision-making. The case further adds an additional value by (a) providing current summaries of the emerging marketing literature related to service dominant logic, value co-creation and customer engagement, and (b) engendering greater student engagement in learning. The case is freely distributed, and can be found at http://business.illinoisstate.edu/bestbuy/ . Suggestions for extending and/or improving the case are encouraged."
2015,1,2,"10.1177/2394964315602412","Journal of Creating Value","Adding Value to Projects Using Mind Maps","Abstract This article presents the effectiveness of Mind Maps as a thinking tool and explores opportunities for using Mind Mapping to add greater value and effectiveness in managing projects. The article briefly explains what a mind map is and how it positively impacts key skills for managing projects. Four key avenues for creating value in projects are identified: Purpose (or Project Vision), People, Problem solving and Customer. The article puts forward the case for Mind Maps by sharing a real life case study and representative examples on how they can add value in areas mentioned above."
2015,1,2,"10.1177/2394964315604096","Journal of Creating Value","Value Creation in Citizen Services: Sakala as India’s Most Effective Citizen-first Public Engagement Model","Abstract Red tape, corruption, discourteous behaviour, lack of citizen focus and ease of doing simple tasks as getting copies of say, birth certificate, driving licence, vehicle registration and others, have been major areas of concern in governance. Recognizing this, the government initiated a regulation for ensuring time-bound public services called Sakala. This article examines reasons for its introduction, details of the scheme, its implementation, its effectiveness and the value it creates for citizens."
2015,1,2,"10.1177/2394964315604433","Journal of Creating Value","Innovation Management Theory and Practice: Part 1","Abstract This article identifies the root cause of a group of wicked global problems which is lack of value creation from radical innovation that has existed over the last four decades. This article describes the essential part of a solution which is adoption of a new fourth generation of innovation management (4G) to emerge as best practice since 1900. 4G effectively enables radical innovation. Radical innovation is required for sustained, adequate rates of economic growth driven by improvements in productivity, quality and cost in industries such as health care, education, construction and energy. As a result of inadequate radical innovation for decades, a group of major economic, social and environmental wicked problems , such as, income inequality and global warming, remain unsolved, and these problems exist in all countries including the United States. In his landmark book Capital in the Twenty-first Century, Thomas Piketty linked inadequate economic growth to income inequality. A distinguished economist and professor at Northwestern University, Robert Gordon, has identified the current global situation as a period of potentially permanently stalled economic growth unless value creation driven by radical innovation is resumed at a level and with rates similar to what occurred in the three industrial/information revolutions since 1750. Since 1900, there have been three separate and successive periods of time in which a new generation of innovation management was created and then adopted as best practice to replace, augment and improve the practices in earlier generations. The root cause of the global problem is that none of the three generations have been effective in creating an adequate amount of radical innovation which requires a new dominant design to transform (a) capabilities in organizations based on knowledge, tools (which include purchased products and services), technology and processes, (b) business models and (c) the structure of markets and industries. 4G is guided by 12 new principles and practices to effectively and efficiently create radical innovation based on new dominant designs while also improving the efficient creation of incremental innovation. Part 1 of this article describes 4G and the first four principles of 4G in detail. Another companion article, Part 2, will later describe the remaining eight principles in detail as essential part of a solution."
2015,1,2,"10.1177/2394964315605239","Journal of Creating Value","How Best-in-Class Marketers Serve as Value Creators","Abstract Even though marketers continue to plug away at measurement, marketing leaders still struggle with how to demonstrate the impact of marketing on business. Numerous studies have been conducted on the topic over nearly two decades. Is there anything new left to learn? There is, and as a result, this article shares the insights Demand Metric and VisionEdge Marketing learned from the fourteenth century annual marketing performance measurement and management study conducted with over 360 business executives and marketing professionals from around the world across all industries. The study sought answers to three questions: How much progress, if any, have marketers made in being able to measure contribution, value and impact? Which marketers are making progress? What are the marketers who are excelling at marketing performance management (MPM), doing better and differently?"
2015,1,2,"10.1177/2394964315608461","Journal of Creating Value","Editorial",
2015,1,2,"10.1177/2394964315608463","Journal of Creating Value","Launch of the Journal of Creating Value and News",
2015,1,2,"10.1177/2394964315619073","Journal of Creating Value","List of Reviewers",
2016,2,1,"10.1177/2394964315627245","Journal of Creating Value","The Impact of Customer Behaviour on the Business Organization in the Multichannel Context (Retail)","Abstract In this article, we will show how quicker technology adoption by consumers and Web 2.0 led to a paradigm shift between consumers and brands, giving the consumer a new integrated role in the business model. We will see how the use of new technologies influenced consumers’ expectations and behaviour and how/why it could emphasize their search for greater (and new) value. We want to point out that although it may be obvious that channel consistency is now a necessity, it cannot consist solely on ‘window dressing’ but also requires an entire customer focus among all services of companies. In this perspective, we will question why customer relationship management (CRM) alone cannot be the answer. Although research has shown for some time, now that fully cross-functional organizations and involvement of all stakeholders in the companies’ value creation is a key for success, many companies are still struggling to achieve an appropriate integration and remain silo based. Finally, it is our intention to raise awareness that value creation is not just for customers. It can only be truly successful when that value is also created for, with and by all company employees. This is the challenge of traditionally silo-organized enterprises, with their competing or overlapping roles and responsibilities. It, thus, becomes imperative that organizations evolve towards more cross-functional activities, with the full involvement of all stakeholders in the value chain."
2016,2,1,"10.1177/2394964315627252","Journal of Creating Value","Co-creation of Socio-economic Values in Islamic Banking Service: Case Study Research in Pakistan","Abstract This study examines the case study research in Pakistan to show the importance of socio-economic values in the banking world by citing the case of Islamic banking. Following Sharia traditions, Islamic banking is more concerned with socio-economic values, such as well-being, trust, ethics and partnership than with economic values, such as money in terms of interest. To investigate the unique value, service system and value proposition in Islamic banking, we combined the results from literature review, press releases and interviews. The literature review showed that the Islamic banks ensure secure investments and profit or loss sharing. The press releases on banking websites showed that Islamic banking focuses on socio-economic values rather than economic values. The interview analysis showed that Islamic banking is mostly focused on justice and transparency of projects, achieved under the benevolent watch of the Sharia board, over all banking activities. These findings reveal that the backbone of value co-creation in Islamic banking is contract-based projects which create economic opportunities and social experiences, and ensure that in Islamic banks, values create value for the customer. This concept is typically seen even in modern services."
2016,2,1,"10.1177/2394964315627253","Journal of Creating Value","From Brand to Customer","Abstract This article is about the inevitability of organizations to move away from a production and/or brand mindset to a customer-centric mindset. This article focuses on how an organization can build and manage such customer-oriented culture. Given that what is measured gets managed, the article starts with a discussion on the key metrics—customer metrics—that need to be defined, measured, discussed and driven within the organization. The article then explores the options available for any organization to enhance the customer metrics more specifically through customer experience and relationship building. The article is written keeping in mind the working executives. This article is based on the author’s experiences, observations and formal and informal discussions with his clients and non-clients."
2016,2,1,"10.1177/2394964315627254","Journal of Creating Value","The Value of Values: The Amplified Role of Authenticity in an Increasingly Transparent World","Abstract The topic of values is gaining more and more attention on a number of levels: organizational, personal, community, societal and political. At an organizational level, the values define what the organization stands for and how it is seen and experienced by customers and other stakeholders (employees, service partners, suppliers and communities). Values act as guiding principles—as a behavioural and decision-making compass. If these values are not embraced and displayed by everybody representing the organization, there is a likelihood that customers will, at best, be confused and, at worst, not trust what is being communicated through ‘official channels’. In today’s super connected, transparent world, the value of values is greater than ever before."
2016,2,1,"10.1177/2394964315627259","Journal of Creating Value","New Fourth Generation of Innovation Management Theory & Practice: Part 2","Abstract This is the second article in a pair of articles in the Journal of Creating Value which identified the root cause of a group of wicked global problems as the lack of value creation from radical innovation. The root cause has existed over the last four decades following the large number of significant radical innovations that launched and initially propelled the Information Age. The first article described the essential part of a solution which is adoption of a new fourth generation of innovation management (4G) which has emerged as best practice since 2000 because 4G effectively enables radical innovation in addition to more effective and efficient incremental innovation. Radical innovation is required for sustained, adequate rates of economic growth driven by improvements in productivity, quality and cost in industries such as healthcare, education, construction and energy. As a result of inadequate radical innovation over the past four decades, a group of major economic, social and environmental wicked problems are unsolved such as income inequality and global warming and these problems exist in all countries including the United States. 4G is guided by 12 new principles and practices to effectively and efficiently create radical innovation based on new dominant designs while also improving the efficient creation of incremental innovation. The first article, Part 1, described the first four principles of 4G in detail. This article, Part 2, describes the remaining eight principles of 4G in detail."
2016,2,1,"10.1177/2394964316628911","Journal of Creating Value","How CEOs Can Become More Customeric","Abstract Far too often, academics, consultants and advisors complain that companies are not doing enough to become more Customer-centric, though it seems obvious that the Customer should be given more importance. This article examines why that is the case. It starts with the premise that the CEO is smart and perceives higher priorities or tasks than the Customer priority, which explains the lack of change in organizations. Since the CEO feels his/her current priorities are successful, there is no pressure to change. It suggests that consultants and advisors are not able to convince the CEO that there are better (Customer-centric) options. In other words, the lack of organizational change is due to the fact that consultants fail to make a strong enough case for change. This article then helps the advisor develop arguments about tasks versus priorities and the effective use of time (if the lack of time is used as an excuse) in order to assist them in making the case for change. Another problem is that these advisors confuse the executives with various Customer terms and portray their terms as the only way to success, be they Customer experience (CX), Customer journey, Customer value, Customer effort, etc. This article goes on to show what Customer-Centric and Customer value creation ideas the CEO should use in order to facilitate change. It shows how Customer priority can change and what is the impact of that change. A complete and revolutionary transformation of the company is required to make it Customer-Centric."
2016,2,1,"10.1177/2394964316628925","Journal of Creating Value","Innovation and Creating Shared Value: The Highly Effective Habits of Innovative Organizations","Innovation is vital to the continued success of any business. Customers no longer stay satisfied for long. They are looking to be surprised and delighted by most, if not all, of the products and services they buy. Today’s challenge is to find ways to better and more quickly satisfy these ever-increasing demands of our customers. Adopting the three highly effective habits laid out in this article provide a clear roadmap. These include setting stretch targets for every new launch, regular connection with and observation of customers, and the expansion of idea generation to greater input from both internal and external sources. These are the three essential elements that make innovation of increased value to both customers and companies. Customers get more of what they want, need and sometimes what they have only dreamed of having. Organizations see greater loyalty and satisfaction, easier acceptance of price increases and a better understanding of both the current market and the future potential of new categories. In summary, this article shows that successful innovation and creating shared value go hand-in-hand in today’s connected world."
2016,2,1,"10.1177/2394964316630403","Journal of Creating Value","Relative Value and Customer Choice in Loan Decisions: An Application of the Wallet Allocation Rule","Abstract Purpose – This research applies the Wallet Allocation Rule (WAR) to provide marketing scholars and practitioners with a deeper understanding of the key drivers of loan selection and to estimate the relative value borrowers place on various attributes when selecting a loan provider among competitors. Design/methodology/approach – A survey of 642 credit union (CU) members from nine geographically dispersed USA CUs was conducted. WAR analysis was conducted to measure the relative value customers place on the selected variables within and across the financial institutions that were part of the borrowers’ consideration sets. Findings – WAR analysis revealed stark differences in the value of factors in the selection of a bank or a credit union for first mortgages, suggesting that WAR analysis is a useful tool for understanding the relative value of various attributes in the selection of one loan provider over another. Originality/value –This research provides a significant contribution to both the service literature and the scientific literature in general by providing a user-friendly and scientifically tested analysis tool to measure relative value distances of ranked data and providing additional evidence for the usefulness of WAR analysis to better understand relative customer satisfaction and its implications for consumer behavior and service marketing."
2016,2,1,"10.1177/2394964316631697","Journal of Creating Value","Measuring Value Exchange in a Community: A Deeper Exploration","Abstract The previous edition of this Journal included an article titled ‘Making Engagement Worth It: Measuring and Managing How Entrepreneurs Exchange Value with Their Community’. It presented a case study whereby the techniques associated with the field of Customer Value Management in business were applied by researchers in the public sector. The case involved understanding and measuring the perceptions of entrepreneurs about the communities in which they start businesses, with the aim of providing community leaders and policymakers with actionable information about how to create a more compelling value proposition for entrepreneurs. This article provides further information about the approach and execution of that study. It contains details about the development of the qualitative framework which will allow you to understand how community members evaluate the worth of their community. It describes the design and implementation of the quantitative survey and analysis that generates data and conclusions for decision-makers. The main purpose of this article is to help researchers and practitioners of Customer Value Management techniques apply this successful method for measuring, managing and improving the value proposition of their own communities."
2016,2,1,"10.1177/2394964316633544","Journal of Creating Value","List of Reviewers",
2016,2,1,"10.1177/2394964316636521","Journal of Creating Value","Value Creation News",
2016,2,1,"10.1177/2394964316636522","Journal of Creating Value","Editorial",
2016,2,1,"10.1177/2394964316636524","Journal of Creating Value","Interview with Sadashiv Pandit, Executive Chairman of Fleetguard Filters Private Ltd (A Cummins Group Company)",
2016,2,2,"10.1177/2394964316631232","Journal of Creating Value","Drivers Enabling Value Co-creation: A Study of Select IT-services Outsourcing Firms (Client vis-à-vis Service Provider)","Abstract The phenomenon of value creation is witnessing a shift towards value co-creation, particularly in collaborative relationship. This study explores and prioritizes drivers enabling value co-creation from the perspectives of client and service provider in the context of IT-services outsourcing. An extensive literature review and subsequent pilot study suggest six probable value drivers that are further, statistically validated and prioritized. The unit of analysis is front-line professionals, working with either party. A web-based survey was administered to collect data from 256 respondents, drawn using judgemental sampling. Strategic Intent and Service Actualization are found to be significant and common value drivers for both parties (client and service provider), though with different priorities. The other significant value drivers are found to be Collective Capabilities for client and Intrapreneurship for service provider (these value drivers are not common to the client and service provider). This study reiterates and crystallizes the understanding of value co-creation process in the context of IT-services outsourcing. The identified drivers would enable practitioners to understand and to reconcile the drivers for client(s) and service provider(s) in order to realize the respective value outcome. The commonality of two value drivers; strategic intent and service actualization for both clients and service providers indicates the opportunity for co-creation of value."
